trial,sigma,gap,method,n_missing,rmse,mae,bias
22,0.05,8,linear,24,0.29214871785046953,0.2698416668967973,-0.07621740394755916
23,0.05,8,locf,24,0.7614495743278692,0.6439486221765561,0.004884270911277346
23,0.05,8,nearest,24,0.3480419719491771,0.2520245967311161,-0.05510288010607595
23,0.05,8,linear,24,0.189500288757231,0.17074499305490173,-0.05510288010607597
24,0.05,8,locf,24,0.528581458713922,0.44039034181930337,-0.13807175551167658
24,0.05,8,nearest,24,0.35101857914974494,0.28259251720455775,0.03764932100671851
24,0.05,8,linear,24,0.3091334343639004,0.2820115914807157,0.03764932100671849
25,0.05,8,locf,24,0.5228947509528519,0.33918835788494156,0.13372991484534483
25,0.05,8,nearest,24,0.31910731491723043,0.23679843623223537,-0.015202955782188055
25,0.05,8,linear,24,0.1496357770048685,0.12486980560910689,-0.01520295578218805
26,0.05,8,locf,24,0.779167020221992,0.6860999349033613,0.2637010584166355
26,0.05,8,nearest,24,0.4492185471544309,0.3877334905995009,0.08616090543032401
26,0.05,8,linear,24,0.3684291384861532,0.3330068687285566,0.08616090543032401
27,0.05,8,locf,24,0.7137138184598365,0.45790104725868047,-0.3805630109872357
27,0.05,8,nearest,24,0.39328711144086304,0.2943285341384758,-0.054552718505988584
27,0.05,8,linear,24,0.17373779035938208,0.15750503969279953,-0.054552718505988584
28,0.05,8,locf,24,0.6381579398413972,0.4417170422465402,-0.4124988809382762
28,0.05,8,nearest,24,0.38698085944771393,0.26637976162149246,-0.08876788406016194
28,0.05,8,linear,24,0.2753268375721053,0.2460737641195332,-0.08876788406016191
29,0.05,8,locf,24,0.4926890572243592,0.4070989944135301,0.053611339907846674
29,0.05,8,nearest,24,0.3147259826699479,0.24082543843778215,-0.10927265480269142
29,0.05,8,linear,24,0.23590009528132244,0.20275125186701928,-0.10927265480269142
30,0.05,8,locf,24,0.3409780140926667,0.26110007302498456,0.06508489300202036
30,0.05,8,nearest,24,0.36987992304297135,0.2594558052862154,0.05844736465117082
30,0.05,8,linear,24,0.2613234227921208,0.2426111596712195,0.05844736465117084
31,0.05,8,locf,24,0.542340144809576,0.39227246331939253,0.36090669833326666
31,0.05,8,nearest,24,0.3064584448019612,0.21866722007466402,-0.030616400342675282
31,0.05,8,linear,24,0.15604884583320022,0.13725293072750774,-0.030616400342675282
32,0.05,8,locf,24,0.2761939071683904,0.18999429176231183,0.07721279522610437
32,0.05,8,nearest,24,0.3565934345460359,0.25207239832870326,-0.18542222885432103
32,0.05,8,linear,24,0.2580616204278337,0.2072652062117993,-0.18542222885432103
33,0.05,8,locf,24,0.6720421226137151,0.5608026657898165,0.11266098727743558
33,0.05,8,nearest,24,0.44227479617765064,0.36509301520615206,0.10216444082538913
33,0.05,8,linear,24,0.3816795722616189,0.3617793489528238,0.10216444082538917
34,0.05,8,locf,24,0.4578201245190565,0.3593250173392229,0.3593250173392229
34,0.05,8,nearest,24,0.2190424907685049,0.1554181993772247,0.027505945610568027
34,0.05,8,linear,24,0.12398346295649583,0.10247836231026225,0.027505945610568048
35,0.05,8,locf,24,0.5859031276679231,0.3860787187348514,0.28783239081599893
35,0.05,8,nearest,24,0.3147509479416443,0.2258800692271862,0.13594132256193808
35,0.05,8,linear,24,0.21571550371678708,0.1866719289080957,0.13594132256193805
36,0.05,8,locf,24,0.688943416058867,0.5682487364736631,-0.23415755016203396
36,0.05,8,nearest,24,0.40153946686667624,0.3302248035547665,-0.17302730439190372
36,0.05,8,linear,24,0.21215167407014504,0.17396260047988066,-0.17302730439190372
37,0.05,8,locf,24,0.5847404107842973,0.4588499644731434,0.06259778646563287
37,0.05,8,nearest,24,0.37238854253838843,0.286686545963783,0.06859973729299669
37,0.05,8,linear,24,0.26722170713400273,0.24975932973552792,0.06859973729299666
38,0.05,8,locf,24,0.6768883372561965,0.5478028974221781,0.04097979162270728
38,0.05,8,nearest,24,0.3375463894407646,0.23552075703417988,0.01642871932878806
38,0.05,8,linear,24,0.2587362310779482,0.21782946185147697,0.016428719328788043
39,0.05,8,locf,24,0.6980718650423896,0.48352397835073635,-0.23328830029021397
39,0.05,8,nearest,24,0.35981755878731303,0.24524797785665176,-0.11161088170836526
39,0.05,8,linear,24,0.19358390407127185,0.15462817515041294,-0.11161088170836524
40,0.05,8,locf,24,0.28859965358803785,0.2573661952386419,-0.10075509893312158
40,0.05,8,nearest,24,0.1864492457856515,0.158518403873511,-0.08336002574238566
40,0.05,8,linear,24,0.14518960486396212,0.10481866148575947,-0.08336002574238564
41,0.05,8,locf,24,0.5455924952892817,0.3891035386478186,0.2875244746901247
41,0.05,8,nearest,24,0.3573320914748876,0.24558018982903398,-0.010350569921932784
41,0.05,8,linear,24,0.2585996073773208,0.21300241802235098,-0.010350569921932779
42,0.05,8,locf,24,0.6949036933489724,0.5544527273500285,0.046171628099671576
42,0.05,8,nearest,24,0.44027120713712564,0.3216233358290339,0.2418925611130928
42,0.05,8,linear,24,0.2599091727938031,0.24189256111309285,0.24189256111309285
43,0.05,8,locf,24,0.4915913915457005,0.40685803739668347,0.21286433233259253
43,0.05,8,nearest,24,0.2815879976748217,0.23431099858876156,-0.11289097224408717
43,0.05,8,linear,24,0.18847279031379646,0.15393310147400482,-0.11289097224408717
44,0.05,8,locf,24,0.5841663398045465,0.48124784342861116,-0.35098853153545645
44,0.05,8,nearest,24,0.38864176911466,0.32219133344177225,0.04534355306223479
44,0.05,8,linear,24,0.30010602668754754,0.2601438069869768,0.045343553062234844
45,0.05,8,locf,24,0.5376381984928399,0.4221346771241936,-0.22501968736064218
45,0.05,8,nearest,24,0.33167942899969266,0.23533510275553082,0.12305136671895654
45,0.05,8,linear,24,0.17173580550263592,0.13237897386753386,0.12305136671895651
46,0.05,8,locf,24,0.5509771009363319,0.41372584683440095,-0.21402374303468527
46,0.05,8,nearest,24,0.34457854128266335,0.251868023480839,-0.21969019903897544
46,0.05,8,linear,24,0.2665924605311667,0.22323294429676052,-0.21969019903897546
47,0.05,8,locf,24,0.13529149351718361,0.09603665094987922,-0.011518916791554853
47,0.05,8,nearest,24,0.19975509971133856,0.1325885623842468,0.1211669892217968
47,0.05,8,linear,24,0.15884335989281895,0.12568641730007854,0.12116698922179679
48,0.05,8,locf,24,0.5224352499736525,0.44569915052246545,-0.20046147804832573
48,0.05,8,nearest,24,0.38188449071546965,0.2873707222822442,0.07613961438585766
48,0.05,8,linear,24,0.2268307590273376,0.19453835446972348,0.07613961438585766
1,0.05,16,locf,48,0.548040825395258,0.4620888878115839,-0.06547518746630539
1,0.05,16,nearest,48,0.6585621890003618,0.5048517510518614,0.2744140388790637
1,0.05,16,linear,48,0.5645886977603156,0.4553371133255227,0.2744140388790637
2,0.05,16,locf,48,0.9487624161943533,0.7435989139477407,-0.0974238314066974
2,0.05,16,nearest,48,0.5292839413029503,0.3759852805979455,-0.09127371926707673
2,0.05,16,linear,48,0.2730346763057149,0.21663941834610098,-0.09127371926707674
3,0.05,16,locf,48,0.7885003847501811,0.6355941245464648,-0.11966498894899547
3,0.05,16,nearest,48,0.2908160742542628,0.20730765522817465,0.05133014994759036
3,0.05,16,linear,48,0.2752190563742876,0.22930334998510518,0.05133014994759038
4,0.05,16,locf,48,0.9880223637069663,0.7674013885318655,0.03475154018683483
